zipcode_left,latitude_left,longitude_left,address_left,lot,zipcode_right,lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,yearbuilt,yearalter1,builtfar,residfar,commfar,facilfar,latitude_right,longitude_right,address_right
10473.0,40.821608929880455,-73.87283530666447,MORRISON AVENUE,64,10462.0,10467.0,10467.0,10467.0,0.0,0.0,10467.0,1.0,1.0,104.5,104.67,1941.0,0.0,1.0,2.43,0.0,4.8,40.8352394631787,-73.8523588313888, CASTLE HILL AVENUE
10460.0,40.84478796166483,-73.88587478104928,EAST   STREET,25,10467.0,12382.0,45934.0,0.0,45934.0,0.0,0.0,1.0,6.0,151.0,151.0,1940.0,0.0,3.71,3.44,0.0,4.8,40.8825016274096,-73.8846528083318, W MOSHOLU PARKWAY N
10468.0,40.8612142340502,-73.90633752856328,DR M L KING JR BOULEVARD,84,10458.0,8846.0,27930.0,1250.0,26680.0,0.0,1250.0,3.0,5.0,100.0,70.75,1911.0,0.0,3.16,6.02,0.0,6.5,40.86084926400429,-73.8968192821735, VALENTINE AVENUE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,25,10461.0,2140.0,3516.0,2308.0,1208.0,0.0,1208.0,1.0,2.0,92.49,52.52,1927.0,2004.0,1.64,3.44,0.0,4.8,40.8461355278651,-73.8319748412632, CROSBY AVENUE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,45,10465.0,1875.0,1875.0,0.0,1875.0,0.0,0.0,1.0,3.0,76.0,25.0,1960.0,0.0,1.0,0.75,0.0,2.0,40.8342360292069,-73.8220490521567, THROGS NECK EXPWY SR
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,106,10459.0,2900.0,2100.0,0.0,2100.0,0.0,0.0,1.0,3.0,100.0,35.0,1991.0,0.0,0.72,3.44,0.0,4.8,40.829314164168295,-73.8896520974995, VYSE AVENUE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,86,10454.0,1475.0,1904.0,0.0,1232.0,0.0,0.0,1.0,2.0,100.0,40.0,1901.0,0.0,1.29,2.43,0.0,4.8,40.8120058598516,-73.91935406269042, EAST  STREET
10452.0,40.84345572380287,-73.92470475387987,DR M L KING JR BOULEVARD,107,10451.0,2024.0,3132.0,0.0,3132.0,0.0,0.0,1.0,3.0,92.0,47.5,2002.0,0.0,1.55,3.44,0.0,6.5,40.8232348937811,-73.9160452770151, COURTLANDT AVENUE
10467.0,40.88344811501554,-73.85723156636504,EAST   STREET,2488,10471.0,7300.0,1962.0,0.0,1962.0,0.0,0.0,1.0,2.0,100.0,29.75,1935.0,0.0,0.27,0.5,0.0,1.0,40.8962949186659,-73.90735514196909, DELAFIELD AVENUE
10472.0,40.83111872455513,-73.87990694110945,EAST   STREET,14,10467.0,2856.0,1772.0,0.0,1772.0,0.0,0.0,1.0,2.5,114.25,36.0,1925.0,0.0,0.62,1.25,0.0,2.0,40.8830232388288,-73.85770984150109, EAST  STREET
10454.0,40.808143454150745,-73.91468079691555,EAST   STREET,335,10463.0,1707.0,1980.0,0.0,1440.0,0.0,0.0,1.0,2.0,85.33,36.0,1940.0,0.0,1.16,0.75,0.0,2.0,40.8833170997694,-73.90618704825592, WEST  STREET
10453.0,40.85268426685803,-73.91789138105312,WEST TREMONT AVENUE,38,10461.0,2500.0,2816.0,0.0,2200.0,0.0,0.0,1.0,2.0,100.0,51.0,1960.0,0.0,1.13,1.25,0.0,2.0,40.8452687948915,-73.8286482284804, JARVIS AVENUE
10468.0,40.86515417644589,-73.89508805180566,GRAND CONCOURSE,83,10473.0,2519.0,1902.0,0.0,1902.0,0.0,0.0,1.0,2.0,108.35,45.7,2002.0,0.0,0.76,0.5,0.0,1.0,40.814189487610996,-73.8496779821552, OLMSTEAD AVENUE
