lotarea,bldgarea,resarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,year,status,complaint
2375.0,4552.0,2920.0,2.0,3.0,95.0,60.0,1.92,1.25,119,1,1
2856.0,4500.0,4500.0,1.0,3.0,114.25,60.0,1.58,1.25,90,1,2
1192.0,700.0,0.0,1.0,1.0,97.33,60.0,0.59,2.43,90,1,0
2556.0,2985.0,2985.0,1.0,3.0,98.0,38.26,1.17,3.44,16,1,1
5263.0,3264.0,2176.0,2.0,2.0,105.26,52.0,0.62,1.25,95,0,0
3600.0,2250.0,1875.0,1.0,2.5,100.0,30.0,0.63,0.75,80,1,0
15300.0,72727.0,72727.0,1.0,6.0,125.0,111.0,4.75,3.44,90,0,0
1612.0,2200.0,0.0,1.0,2.0,80.58,48.0,1.36,2.0,61,1,0
2255.0,2430.0,1620.0,2.0,2.0,100.0,45.0,1.08,1.25,90,1,0
1900.0,3126.0,2062.0,2.0,2.0,100.0,54.0,1.65,2.43,119,1,1
2500.0,4080.0,4080.0,1.0,0.0,100.0,0.0,1.63,1.25,6,1,0
7403.0,2700.0,0.0,1.0,1.0,90.0,50.0,0.36,4.0,25,1,0
1575.0,1152.0,1152.0,1.0,2.0,87.5,32.0,0.73,2.43,28,1,0
3839.0,2240.0,2240.0,2.0,2.0,109.42,60.0,0.58,0.75,95,1,0
2902.0,3096.0,3096.0,1.0,3.0,109.51,64.5,1.07,0.75,15,1,0
2500.0,1753.0,1002.0,1.0,1.0,100.0,44.0,0.7,0.75,65,1,0
2751.0,1424.0,1424.0,1.0,2.0,93.0,39.0,0.52,0.75,100,1,0
12700.0,12700.0,0.0,1.0,1.0,141.0,141.0,1.0,4.0,89,1,0
3300.0,2399.0,1862.0,1.0,2.0,100.0,31.0,0.73,0.5,65,1,3
